cod_bairro,qtd_proc,qtd_toi,qtd_nega,qtd_corte,qtd_reclamacao,qtd
150,298,50,2344,2208,1395,23821
133,208,0,2917,1667,1250,48
105,203,74,1848,2828,555,541
149,147,354,1979,1314,466,69041
119,123,12,2610,1395,874,21844
106,114,77,1961,1072,412,24228
126,113,23,1445,1467,1016,443
129,108,145,2502,1094,555,5532
131,106,216,2178,1593,560,9124
103,103,8,1496,670,500,10333
151,100,328,2047,1319,483,37515
148,95,146,2084,1232,427,26016
96,90,6,1840,867,429,3539
139,87,56,2147,1187,519,77561
86,82,48,2185,1273,526,19397
114,80,44,2223,1082,530,29414
109,79,68,2134,1308,532,11701
130,75,282,2026,1433,548,10885
147,74,77,2337,1146,526,29734
108,73,0,2050,1107,414,1644
50,73,81,2238,1250,722,8391
85,72,72,2209,1420,700,5944
144,71,88,2222,1140,463,142275
94,70,22,2315,1011,645,2294
140,70,68,2314,1173,478,25147
135,68,34,2201,996,426,4438
90,66,54,2039,1134,494,21417
107,64,68,2120,1210,577,38656
153,64,238,2215,1341,474,9192
145,63,100,2391,1266,382,13581
8,62,75,2031,1415,720,2403
118,62,60,1923,1624,739,4816
137,61,36,2211,1077,614,8033
122,61,45,1985,964,497,69582
83,60,23,1871,901,457,28046
146,60,123,2052,997,441,14539
3,57,98,1509,1138,517,6804
98,57,8,1897,894,495,7368
87,57,46,2297,1168,537,7389
110,57,98,2072,1098,528,14787
125,57,28,1789,841,461,18043
143,56,87,2292,1236,436,29918
72,56,31,1780,1191,720,1612
93,56,12,2508,1154,512,5920
84,55,28,2140,1147,691,13177
89,55,56,2369,1278,540,20679
69,54,31,2081,1146,602,21451
141,54,99,1937,922,432,96922
127,54,11,1977,1548,473,16972
116,54,100,2118,1059,529,14199
123,53,42,2145,913,509,16137
49,52,36,2085,1272,860,12079
80,51,38,2086,1031,516,7963
112,51,25,1553,507,316,5286
115,51,62,1632,998,349,51151
40,51,48,1915,1020,680,18930
88,50,42,2335,1306,485,16100
46,50,77,1835,835,574,19513
60,50,19,2164,1185,592,3595
18,50,11,1475,825,279,10268
45,49,41,2062,1007,577,51105
100,49,16,2069,863,558,13855
48,49,61,1721,1290,1073,14685
75,48,17,2249,1028,577,6034
43,48,32,1826,897,637,25695
77,48,40,2084,1050,544,50265
142,47,39,1861,621,432,42337
56,47,37,2089,1082,488,7309
132,46,109,1863,1148,430,51678
158,46,52,2247,1282,629,3293
82,45,32,1868,917,513,16283
61,45,24,1973,1098,618,18219
34,43,12,1548,924,550,5129
101,43,12,1729,756,554,8170
62,43,8,1768,850,530,10772
95,42,45,2341,1028,436,2888
124,41,37,1775,869,457,24591
138,41,40,2143,973,355,9900
152,41,79,2242,1228,418,3421
99,41,5,1474,731,550,14793
79,40,35,1858,909,474,16970
11,39,4,1411,428,437,2289
71,39,35,1973,925,464,17286
41,38,31,1892,791,578,27806
78,38,13,1758,822,526,4694
121,38,22,2126,840,457,22262
91,38,32,1981,931,431,1858
42,38,44,1742,792,543,33465
120,37,19,1863,767,452,30886
73,37,17,1956,814,555,9946
74,37,22,1920,879,604,18074
7,37,19,1544,625,473,15482
58,37,34,1895,1253,682,7643
12,36,36,1929,993,474,9732
67,36,52,2040,1216,642,2524
5,35,14,1392,780,348,64004
70,35,39,2141,1023,476,6599
10,34,60,1606,809,434,14061
64,34,10,1747,730,444,10021
52,33,32,2076,1086,560,13663
47,32,91,2165,1156,706,6235
113,32,23,1366,290,322,9094
134,32,47,1458,408,340,3799
54,31,26,1748,908,564,21810
65,30,12,1859,867,465,19358
38,30,11,1431,649,467,17804
97,30,19,2188,1093,621,5680
2,29,56,1813,997,470,3762
68,29,57,2084,1171,669,7928
6,28,59,1908,839,483,3564
1,28,39,1458,1007,334,1797
102,28,14,1579,815,657,2907
59,27,28,1963,989,527,6673
66,27,18,1728,779,464,24736
117,26,82,2642,1419,506,9069
63,26,5,1530,686,401,32792
128,26,4,1298,638,285,87211
39,26,0,2115,505,377,5489
157,25,0,1213,1,272,24852
14,25,70,1670,959,485,21633
111,25,22,1269,241,396,4020
17,25,3,1150,569,292,22941
53,24,15,1725,765,543,9543
32,23,11,1503,763,422,6462
51,23,29,1985,1087,526,3063
37,23,15,1421,567,450,16707
33,22,12,1034,491,337,83856
24,22,3,1150,627,281,106743
16,21,16,1647,823,342,7486
35,20,7,1113,493,322,14932
104,20,10,1034,225,539,2002
36,20,11,1363,575,398,34201
4,20,53,1468,340,248,3583
23,18,8,1184,846,303,7579
9,18,16,1353,464,380,7610
136,18,30,958,752,237,1649
20,18,7,1110,610,275,48498
15,17,3,1036,517,225,33360
19,17,4,1143,357,266,2406
31,16,65,934,279,244,20625
55,16,0,1811,49,465,3700
81,16,31,1969,785,429,1910
30,16,2,1268,23,304,5159
156,15,4,1027,166,606,4754
155,14,0,702,10,525,8999
27,14,1,795,382,206,9850
26,14,9,821,390,179,27300
28,14,21,934,559,309,8841
22,13,0,1006,602,350,3171
29,12,6,898,491,238,8153
21,12,2,1001,587,293,9064
154,10,0,931,28,129,2868
25,8,2,855,442,210,28589
76,7,2,610,121,168,5717
44,4,0,906,11,170,2759
159,0,0,1079,4,143,2586
(156 registros),,,,,,
