ROCINHA,3270,646,8
COMPLEXO DO ALEMO,5375,1282,25
CIDADE DE DEUS,5921,1329,62
JACAREZINHO,9681,1945,28
PORTUARIA,18620,3583,120
SANTA TEREZA,26088,4153,137
COMPLEXO DA MARE,27079,6600,107
SAO CRISTOVAO,32737,6152,183
RIO COMPRIDO,33728,5808,216
GUARATIBA,57518,11549,1038
VIGARIO GERAL,61047,12003,545
INHAUMA,74447,14514,605
PAVUNA,76285,17333,958
CENTRO,78467,10272,515
ANCHIETA,89155,18404,1294
PENHA,94476,20007,856
VILA ISABEL,97050,12081,426
ILHA DO GOVERNADOR,97949,16136,903
RAMOS,99393,19517,747
IRAJA,106759,20901,848
TIJUCA,110726,11826,474
LAGOA,122913,11982,320
REALENGO,124594,26941,1901
COPACABANA,134798,14155,418
SANTA CRUZ,137718,28300,3755
BOTAFOGO,160294,15546,550
BANGU,190286,38856,1926
MADUREIRA,214185,42666,2154
BARRA DA TIJUCA,219362,31201,1438
MEIER,228095,38382,1457
CAMPO GRANDE,265863,54651,3500
JACAREPAGUA,328910,57530,3241
