ROCINHA,3270,0,8
COMPLEXO DO ALEMO,5375,0,25
CIDADE DE DEUS,5921,58,62
JACAREZINHO,9681,0,28
PORTUARIA,18620,431,120
SANTA TEREZA,26088,86,137
COMPLEXO DA MARE,27079,4,107
SAO CRISTOVAO,32737,356,183
RIO COMPRIDO,33728,194,216
GUARATIBA,57518,2420,1038
VIGARIO GERAL,61047,1194,545
INHAUMA,74447,707,605
PAVUNA,76285,1449,958
CENTRO,78467,293,515
ANCHIETA,89155,1894,1294
PENHA,94476,1020,856
VILA ISABEL,97050,242,426
ILHA DO GOVERNADOR,97949,543,903
RAMOS,99393,1051,747
IRAJA,106759,1096,848
TIJUCA,110726,199,474
LAGOA,122913,66,320
REALENGO,124594,2226,1901
COPACABANA,134798,48,418
SANTA CRUZ,137718,5217,3755
BOTAFOGO,160294,140,550
BANGU,190286,3429,1926
MADUREIRA,214185,3026,2154
BARRA DA TIJUCA,219362,1096,1438
MEIER,228095,1417,1457
CAMPO GRANDE,265863,5343,3500
JACAREPAGUA,328910,4657,3241
