lat,lon
-22.9697205,-43.1874906
-22.9132068,-43.2483677
-22.9153256,-43.2479052
-22.9628387,-43.2252083
-22.9015388,-43.1808314
-22.923419,-43.1773422
-22.9622655,-43.2224511
-22.911562,-43.1913189
-22.9119107,-43.1822726
-22.9277484,-43.2606173
-22.91254,-43.2719714
-22.908027,-43.2719225
-22.8798992,-43.3492114
-22.8806352,-43.3422687
-22.9112807,-43.285491
-22.8683041,-43.3588586
-22.8802361,-43.3455676
-22.8802361,-43.3455676
-22.8802361,-43.3455676
-22.8802361,-43.3455676
-22.8802361,-43.3455676
-22.8789555,-43.2986242
-22.8769943,-43.3530167
-22.8766873,-43.3513862
-22.8773423,-43.2979767
-22.8135387,-43.1874285
-22.9203296,-43.2272233
-22.9202948,-43.2271787
-22.8087906,-43.1795057
-22.9021024,-43.280651
-22.9234017,-43.2335491
-22.88842,-43.3843596
-22.8874089,-43.3839038
-22.8179524,-43.3319968
-22.846238,-43.3077667
-22.8088572,-43.3041089
-22.8814228,-43.4426097
-22.8515278,-43.3143746
-22.875807,-43.2655175
-22.8130526,-43.3397222
-22.8852721,-43.4447471
-22.8825196,-43.4422028
-22.8432707,-43.3138278
-22.9426045,-43.3536425
-22.9430464,-43.3545015
-22.8787607,-43.2580808
-22.8564907,-43.3223565
-22.8804505,-43.2568634
-22.9431573,-43.3484574
-22.8718663,-43.3082248
-22.8,-43.2
-22.8874836,-43.2715166
-22.8162876,-43.2252937
-22.9092133,-43.2740458
-22.9012992,-43.2776389
-22.9073242,-43.4213349
-22.9130696,-43.2382973
-22.9042989,-43.2579887
-22.902644,-43.2702093
-22.9032538,-43.2848097
-22.8731107,-43.3084289
-22.8704711,-43.2937572
-22.9107283,-43.2405745
-22.8976128,-43.2797621
-22.8673859,-43.3729662
-22.8687996,-43.372732
-22.8681469,-43.3741362
-22.9194508,-43.2248665
-22.9006774,-43.2647682
-22.8737272,-43.3433458
-22.8983253,-43.2795395
-22.875498,-43.3433458
-22.8240797,-43.3250815
-22.8384816,-43.4023412
-22.8548762,-43.328032
-22.9260782,-43.3487761
-22.8511964,-43.3059215
-22.8511528,-43.3180095
-22.9648858,-43.3397254
-22.8523496,-43.3182774
-22.8547718,-43.2684103
-22.8527745,-43.2709815
-22.8525457,-43.2712719
-22.8322233,-43.4142704
-22.922862,-43.346094
-22.8240797,-43.3250815
-22.8508255,-43.3254128
-22.8503355,-43.320493
-22.8502233,-43.3035061
-22.8502233,-43.3035061
-22.8487161,-43.2684692
-22.8487161,-43.2684692
-22.8821184,-43.3422066
-22.8538661,-43.2710781
-22.8775171,-43.3408198
-22.8392048,-43.2779888
-22.8804539,-43.3375491
-22.9241052,-43.3535935
-22.8518711,-43.2499617
-22.8285452,-43.3157508
-22.8489882,-43.2664502
-22.9277587,-43.3511802
-22.9296122,-43.3348656
-22.8240797,-43.3250815
-22.8504211,-43.2649497
-22.8359013,-43.2926242
-22.7606063,-43.4647738
-22.7212648,-43.3453719
-22.9986453,-43.629733
-22.7598431,-43.464012
-22.7189785,-43.3440003
-22.9568197,-43.6027292
-22.8330449,-43.3011246
-22.7636074,-43.444931
-22.8278045,-43.2945937
-22.8977833,-43.2304433
-22.8679158,-43.4311454
-22.902429,-43.6919795
-22.8951608,-43.6878153
-22.7615939,-43.4642133
-22.8617586,-43.4542464
-22.8838528,-43.425942
-22.9116942,-43.6884604
-22.9053617,-43.709804
-22.9054688,-43.7094757
-22.8590749,-43.4546345
-22.6988898,-43.4549638
-22.7219115,-43.4849292
-22.9595841,-43.6033296
-22.7551177,-43.4723045
-22.7551296,-43.4724686
-22.7551389,-43.4727784
-22.7212386,-43.4458169
-22.7354021,-43.4592214
-22.8838528,-43.425942
-22.9700196,-43.6299205
-22.751984,-43.4738889
-22.8940127,-43.470819
-22.7607839,-43.4563067
-22.7202434,-43.3427426
-22.8610175,-43.4283515
-22.9646141,-43.6194506
-22.7618165,-43.4610933
-22.7962331,-43.4292652
-22.7611991,-43.4610813
-22.9801709,-43.6421792
-22.976561,-43.6387311
-22.8319737,-43.2931906
-23.0022513,-43.6333474
-22.8838528,-43.425942
-22.6862772,-43.2877479
-22.6862772,-43.2877479
-22.7118956,-43.5217998
-22.5723128,-43.7028264
-22.4775872,-43.832683
-22.8119445,-43.418781
-22.7950775,-43.3960715
-22.5723128,-43.7028264
-22.7972964,-43.372378
-22.7487424,-43.3662645
-22.7552205,-43.3063918
-22.5324663,-44.1252143
-22.8102891,-43.4155691
-22.8106052,-43.4163217
-22.8117506,-43.4190418
-22.758588,-43.3048512
-22.8101413,-43.4266557
-22.7593128,-43.3097039
-22.7593087,-43.3096945
-22.7849239,-43.3964159
-22.7984879,-43.3679896
-22.7819967,-43.3851558
