lat,lon
-22.9108087,-43.1899736
-22.9047771,-43.1757574
-22.9684642,-43.1861288
-22.9226701,-43.1772286
-22.9115716,-43.1904547
-22.8705863,-43.3005535
-22.8906997,-43.2568736
-22.9244982,-43.2577521
-22.9244982,-43.2577521
-22.8801065,-43.3469496
-22.8622798,-43.3537218
-22.85008,-43.3126689
-22.85008,-43.3126689
-22.8811912,-43.442204
-22.8140214,-43.3166631
-22.8838943,-43.4434325
-22.8202992,-43.3000853
-22.8151792,-43.3385185
-22.8184723,-43.3003603
-22.8900748,-43.3907262
-22.8705819,-43.254696
-22.8840216,-43.4289538
-22.8804505,-43.2568634
-22.8095242,-43.3058471
-22.9079846,-43.2997914
-22.9194239,-43.2200916
-22.9059283,-43.2578069
-22.9045899,-43.2537592
-22.9045899,-43.2537592
-22.8779217,-43.3094665
-22.8779217,-43.3094665
-22.9271002,-43.2400852
-22.9198729,-43.2256984
-22.9084167,-43.2794586
-22.9183703,-43.2240683
-22.9263359,-43.3465227
-22.8292871,-43.3138867
-22.8292871,-43.3138867
-22.96565,-43.3405937
-22.96565,-43.3405937
-22.8547718,-43.2684103
-22.9202368,-43.3648153
-22.9202368,-43.3648153
-22.9224927,-43.3427643
-22.9247131,-43.3468221
-22.8517446,-43.2713524
-22.8512931,-43.2719312
-22.8737272,-43.3433458
-22.9216718,-43.3652827
-22.849831,-43.3035061
-22.8487161,-43.2684692
-22.852945,-43.2722594
-22.8814136,-43.3375072
-22.8559202,-43.2683878
-22.8539194,-43.3238077
-22.8763252,-43.339441
-22.7605307,-43.4619529
-22.8944602,-43.231041
-22.7672415,-43.4429037
-22.766592,-43.4426281
-22.7331928,-43.4524373
-22.7189785,-43.3440003
-22.7189785,-43.3440003
-22.720839,-43.3427426
-22.7583781,-43.4657772
-22.7582251,-43.4611913
-22.957006,-43.6051676
-22.7357791,-43.452876
-22.7357791,-43.452876
-22.8278045,-43.2945937
-22.902429,-43.6919795
-22.9525678,-43.6077458
-22.9525678,-43.6077458
-22.9046655,-43.6923962
-22.7628221,-43.4477994
-22.7628221,-43.4477994
-22.734063,-43.4572544
-22.6796243,-43.4495737
-22.6796243,-43.4495737
-22.8153235,-43.3221787
-22.8627964,-43.4515136
-22.7415456,-43.3168402
-22.7521348,-43.472494
-22.9670111,-43.6111322
-22.7258066,-43.3421391
-22.794557,-43.4299103
-22.794557,-43.4299103
-22.790612,-43.4271468
-22.7542828,-43.3066201
-22.7542828,-43.3066201
-22.7542828,-43.3066201
-22.7542828,-43.3066201
-22.7590288,-43.3040419
-22.7590288,-43.3040419
-22.6862772,-43.2877479
-22.4812668,-43.8183427
-22.5723128,-43.7028264
-22.7285127,-43.5848285
-22.5723128,-43.7028264
-22.7287306,-43.5257281
-22.7591469,-43.3185993
-22.7591469,-43.3185993
-22.7969724,-43.3677219
-22.7173942,-43.5284597
-22.7173942,-43.5284597
-22.8014633,-43.3936504
-22.5723128,-43.7028264
-22.5723128,-43.7028264
-22.5723128,-43.7028264
-22.5723128,-43.7028264
-22.5723128,-43.7028264
-22.7586615,-43.3047003
-22.7570995,-43.3042821
-22.7570995,-43.3042821
-22.7562495,-43.3035361
-22.7354682,-43.3240336
-22.086537,-43.2148284
-22.7152267,-43.5397708
-22.7152267,-43.5397708
-22.7999842,-43.3712195
-22.7570626,-43.3069306
-22.8000246,-43.3712995
-22.8000246,-43.3712995
-22.8000246,-43.3712995
-22.8000246,-43.3712995
-22.7175509,-43.5330099
-22.7566545,-43.3079371
-22.7973835,-43.370009
-22.8154005,-43.4277489
-22.8129052,-43.4204344
-22.7622404,-43.3057092
-22.792869,-43.2968631
-22.479459,-43.8189399
-22.7089788,-43.5334271
-22.7796042,-43.3082671
-22.7583575,-43.3076032
-22.7613686,-43.3131672
-22.5723128,-43.7028264
-22.7067944,-43.5342996
-22.5723128,-43.7028264
-22.9658808,-43.235222
-22.9115888,-43.198403
-22.9148124,-43.1850879
-22.9148124,-43.1850879
-22.9148124,-43.1850879
-22.8963371,-43.4861447
-22.9694685,-43.186618
-22.9694685,-43.186618
-22.9666077,-43.234137
-22.9124078,-43.2008453
-22.9831162,-43.2305349
-22.9111983,-43.1863447
-22.987083,-43.2318699
-22.8298386,-43.3078441
-22.8219206,-43.305267
-22.8251801,-43.2821436
-22.8255663,-43.3032199
-22.9230377,-43.6888273
-22.9230377,-43.6888273
-22.7804056,-43.4267942
-22.8233055,-43.3044705
-22.8852296,-43.4271468
-22.9555088,-43.5754287
-22.9224528,-43.6954163
-22.7804328,-43.4245252
-22.7804749,-43.4235614
-22.8600158,-43.45048
-22.8753145,-43.4440876
-22.9999591,-43.6493934
-22.7828904,-43.4241686
-22.891668,-43.4379883
-22.9804385,-43.6597198
-22.8281544,-43.2995045
-22.8277623,-43.2997283
-22.7865974,-43.3035987
-22.7279552,-43.3994297
-22.7380917,-43.4976013
-22.7200715,-43.3926359
-22.7102287,-43.5216126
-22.7889235,-43.3027311
-22.7901536,-43.3039205
-22.7425183,-43.4372673
-22.7186764,-43.394005
-22.812317,-43.4253626
-22.7898689,-43.3042963
-22.7361658,-43.3438054
-22.8108922,-43.4217249
-22.777785,-43.3463628
-22.7261041,-43.4169907
-22.812362,-43.4254736
-22.8174044,-43.4273734
-22.7896318,-43.2997717
-22.7727025,-43.3677197
-22.8113175,-43.4252126
-22.7921758,-43.3040354
-22.7918806,-43.3038938
-22.7780756,-43.3516721
-22.7758832,-43.3584257
-22.7340233,-43.3954545
-22.7566992,-43.3692821
-22.7343278,-43.3976214
-22.7370641,-43.465108
-22.7370641,-43.465108
-22.7177678,-43.5183376
-22.738647,-43.4015923
-22.8156044,-43.4271468
-22.7729777,-43.3523957
-22.7222771,-43.5187214
-22.6960879,-43.5132658
-22.7714588,-43.3564231
-22.7779795,-43.3488665
-22.7235636,-43.5174022
-22.723668,-43.5173097
-22.7221126,-43.5159838
-22.6840592,-43.5805851
-22.7919201,-43.3062253
-22.7894934,-43.346966
-22.7351263,-43.3958132
-22.7864452,-43.3035508
-22.7749676,-43.3517927
-22.9070401,-43.1857839
-22.1113302,-43.2140532
-22.9069298,-43.184785
-22.8734617,-43.6765605
-22.9180407,-43.2482526
-22.9112309,-43.2784047
-22.8288832,-43.3286212
-22.8779121,-43.3113835
-22.8956771,-43.3176317
-22.8573874,-43.3597975
-22.8573874,-43.3597975
-22.8876571,-43.3684573
-22.864989,-43.3481364
-22.864989,-43.3481364
-22.864989,-43.3481364
-22.8910598,-43.3144182
-22.9175767,-43.3861683
-22.8211007,-43.4000112
-22.8211007,-43.4000112
-22.8782942,-43.3099633
-22.8788211,-43.3120656
-22.8747942,-43.519012
-22.7543895,-43.4406918
-22.8445112,-43.2526458
-22.8065291,-43.3147214
-22.8795113,-43.4632126
-22.8795059,-43.4605422
-22.8766304,-43.5312488
-22.8256015,-43.2831117
-22.8877378,-43.5841186
-22.8877378,-43.5841186
