RIO DAS FLORES,4168,193,17
QUATIS,6699,353,19
ENG PAULO DE FRONTIN,7567,499,37
RIO CLARO,8564,508,29
CARMO,9668,432,29
MENDES,10346,728,60
SAPUCAIA,11462,379,49
PINHEIRAL,12322,629,55
PIRAI,13013,742,76
PATY DO ALFERES,13949,671,93
MIGUEL PEREIRA,17425,856,138
PARAIBA DO SUL,21164,912,107
VASSOURAS,21976,1560,63
PARACAMBI,23316,1732,305
JAPERI,29761,2077,701
SEROPEDICA,33292,2049,254
TRES RIOS,41137,1876,250
VALENCA,43790,1920,190
BARRA DO PIRAI,54271,2814,156
QUEIMADOS,60134,5376,1705
ITAGUAI,61836,3887,543
MESQUITA,82213,7560,1499
NILOPOLIS,82257,6654,1791
BARRA MANSA,96114,5092,824
VOLTA REDONDA,143357,6934,538
BELFORD ROXO,189228,13263,3245
SAO JOAO DE MERITI,212305,19173,3804
DUQUE DE CAXIAS,237916,17698,3275
NOVA IGUACU,367906,33403,8863
RIO DE JANEIRO,3363655,284065,30951
AP - 1,189640,16911,1171
AP - 4,554193,50381,4741
AP - 2,629051,41624,2196
AP - 5,775979,66559,12120
AP - 3,1183926,106964,10527
