nome, qtd, porcentagem, mediana, quartil_i, quartil_s, max, min
'Religação BT', 8553, 0.22925377935, 32, 6, 81, 405, 1
'Recuperação Energ BT', 8040, 0.215503377292, 246, 113, 504, 3227, 1
'NULL', 6216, 0.166613058861
'Corte BT', 5579, 0.149538972874, 54, 20, 118, 385, 1
'SPC', 2571, 0.0689128337086, 354, 192, 624, 1463, 1
'Reclamação', 2306, 0.0618097995068, 62, 28, 116, 437, 1
'SERASA', 1987, 0.053259354562, 388, 207, 682, 1611, 1
'Substituição BT', 492, 0.0131875201029, 59, 23, 121, 448, 1
'Verif Instalação BT', 383, 0.0102658947143, 57, 27, 123, 356, 1
'Modif/Manut Mediç BT', 328, 0.00879168006862, 55, 22, 103, 354, 1
'Fiscalização BT', 310, 0.00830920982095, 38, 15, 62, 174, 1
'Aferição BT', 302, 0.00809477859976, 60, 33, 127, 378, 1
'SolicitaçãoOuvidoria', 58, 0.0015546263536, 27, 12, 48, 110, 1
'Retificação Nome End', 35, 0.000938136592688, 62, 30, 139, 258, 5
'Vistoria BT', 34, 0.00091133269004, 39, 14, 130, 280, 1
'VerifTensão Fornec', 28, 0.00075050927415, 76, 42, 169, 914, 1
'Alterar Carga BT', 24, 0.000643293663557, 112, 48, 158, 360, 1
'Acompanhamento BT', 20, 0.000536078052965, 135, 85, 220, 414, 4
'Dados do Atendimento', 17, 0.00045566634502, 47, 19, 69, 153, 1
'Retirada BT', 14, 0.000375254637075, 43, 15, 111, 740, 11
'Determ   Judicial', 6, 0.000160823415889, 34, 3, 60, 159, 1
'Desligamento  BT', 3, 8.04117079447e-05, 111, 86, 130, 130, 86
'Ligação Nova BT', 2, 5.36078052965e-05, 163, 1, 163, 163, 1
