Antecedente;Valor;Consequente;Valor;Conf;Lift;Lev;Conv
corte-bt ;489093;religacao-bt ;308806;0,63;7,7;0,06;2,49
religacao-bt ;383478;corte-bt ;308806;0,81;7,7;0,06;4,6
corte-bt ;489093;negativacao ;304318;0,62;3,18;0,04;2,13
negativacao ;913226;corte-bt ;304318;0,33;3,18;0,04;1,34
negativacao ;913226;religacao-bt ;236137;0,26;3,15;0,03;1,24
religacao-bt ;383478;negativacao ;236137;0,62;3,15;0,03;2,09
corte-bt ;489093;negativacao religacao-bt ;206285;0,42;8,35;0,04;1,64
corte-bt religacao-bt ;308806;negativacao ;206285;0,67;3,42;0,03;2,42
negativacao ;913226;corte-bt religacao-bt ;206285;0,23;3,42;0,03;1,21
negativacao corte-bt ;304318;religacao-bt ;206285;0,68;8,26;0,04;2,85
negativacao religacao-bt ;236137;corte-bt ;206285;0,87;8,35;0,04;7,08
religacao-bt ;383478;negativacao corte-bt ;206285;0,54;8,26;0,04;2,02
negativacao ;913226;reclamacao ;82075;0,09;2,03;0,01;1,05
reclamacao ;207044;negativacao ;82075;0,4;2,03;0,01;1,33
negativacao ;913226;ren ;79738;0,09;1,33;0;1,02
ren ;306902;negativacao ;79738;0,26;1,33;0;1,09
reclamacao ;207044;religacao-bt ;57459;0,28;3,38;0,01;1,27
religacao-bt ;383478;reclamacao ;57459;0,15;3,38;0,01;1,12
corte-bt ;489093;reclamacao ;55364;0,11;2,56;0,01;1,08
reclamacao ;207044;corte-bt ;55364;0,27;2,56;0,01;1,22
corte-bt ;489093;ren ;52998;0,11;1,65;0;1,05
ren ;306902;corte-bt ;52998;0,17;1,65;0;1,08
corte-bt ;489093;fiscalizacao-bt ;46776;0,1;6,97;0,01;1,09
fiscalizacao-bt ;64097;corte-bt ;46776;0,73;6,97;0,01;3,31
corte-bt ;489093;religacao-bt reclamacao ;45548;0,09;7,58;0,01;1,09
corte-bt reclamacao ;55364;religacao-bt ;45548;0,82;10,03;0,01;5,18
corte-bt religacao-bt ;308806;reclamacao ;45548;0,15;3,33;0,01;1,12
reclamacao ;207044;corte-bt religacao-bt ;45548;0,22;3,33;0,01;1,2
religacao-bt ;383478;corte-bt reclamacao ;45548;0,12;10,03;0,01;1,12
religacao-bt reclamacao ;57459;corte-bt ;45548;0,79;7,58;0,01;4,32
corte-bt ;489093;negativacao reclamacao ;36281;0,07;4,22;0,01;1,06
corte-bt reclamacao ;55364;negativacao ;36281;0,66;3,35;0,01;2,33
negativacao ;913226;corte-bt reclamacao ;36281;0,04;3,35;0,01;1,03
negativacao corte-bt ;304318;reclamacao ;36281;0,12;2,69;0;1,09
negativacao reclamacao ;82075;corte-bt ;36281;0,44;4,22;0,01;1,6
reclamacao ;207044;negativacao corte-bt ;36281;0,18;2,69;0;1,13
fiscalizacao-bt ;64097;negativacao ;35516;0,55;2,84;0;1,8
negativacao ;913226;fiscalizacao-bt ;35516;0,04;2,84;0;1,03
religacao-bt ;383478;ren ;35276;0,09;1,4;0;1,03
ren ;306902;religacao-bt ;35276;0,11;1,4;0;1,04
ren ;306902;toi ;34778;0,11;15,23;0,01;1,12
toi ;34778;ren ;34778;1;15,23;0,01;32494,41
negativacao ;913226;religacao-bt reclamacao ;34143;0,04;3,04;0;1,03
negativacao reclamacao ;82075;religacao-bt ;34143;0,42;5,07;0,01;1,57
negativacao religacao-bt ;236137;reclamacao ;34143;0,14;3,26;0,01;1,12
reclamacao ;207044;negativacao religacao-bt ;34143;0,16;3,26;0,01;1,14
religacao-bt ;383478;negativacao reclamacao ;34143;0,09;5,07;0,01;1,08
religacao-bt reclamacao ;57459;negativacao ;34143;0,59;3,04;0;1,98
corte-bt ;489093;negativacao fiscalizacao-bt ;30480;0,06;8,2;0,01;1,06
corte-bt fiscalizacao-bt ;46776;negativacao ;30480;0,65;3,34;0;2,31
fiscalizacao-bt ;64097;negativacao corte-bt ;30480;0,48;7,3;0,01;1,78
negativacao ;913226;corte-bt fiscalizacao-bt ;30480;0,03;3,34;0;1,02
negativacao corte-bt ;304318;fiscalizacao-bt ;30480;0,1;7,3;0,01;1,1
negativacao fiscalizacao-bt ;35516;corte-bt ;30480;0,86;8,2;0,01;6,31
corte-bt ;489093;negativacao ren ;29562;0,06;3,54;0;1,05
corte-bt ren ;52998;negativacao ;29562;0,56;2,85;0;1,82
negativacao ;913226;corte-bt ren ;29562;0,03;2,85;0;1,02
negativacao corte-bt ;304318;ren ;29562;0,1;1,48;0;1,03
negativacao ren ;79738;corte-bt ;29562;0,37;3,54;0;1,42
ren ;306902;negativacao corte-bt ;29562;0,1;1,48;0;1,03
fiscalizacao-bt ;64097;religacao-bt ;28078;0,44;5,34;0;1,63
religacao-bt ;383478;fiscalizacao-bt ;28078;0,07;5,34;0;1,06
negativacao ;913226;processo ;26936;0,03;1,72;0;1,01
processo ;79963;negativacao ;26936;0,34;1,72;0;1,21
corte-bt ;489093;religacao-bt fiscalizacao-bt ;26404;0,05;8,99;0,01;1,05
corte-bt fiscalizacao-bt ;46776;religacao-bt ;26404;0,56;6,88;0;2,11
corte-bt religacao-bt ;308806;fiscalizacao-bt ;26404;0,09;6,23;0;1,08
fiscalizacao-bt ;64097;corte-bt religacao-bt ;26404;0,41;6,23;0;1,59
religacao-bt ;383478;corte-bt fiscalizacao-bt ;26404;0,07;6,88;0;1,06
religacao-bt fiscalizacao-bt ;28078;corte-bt ;26404;0,94;8,99;0,01;15,01
corte-bt ;489093;religacao-bt ren ;23168;0,05;6,28;0;1,04
corte-bt religacao-bt ;308806;ren ;23168;0,08;1,14;0;1,01
corte-bt ren ;52998;religacao-bt ;23168;0,44;5,33;0;1,63
religacao-bt ;383478;corte-bt ren ;23168;0,06;5,33;0;1,05
religacao-bt ren ;35276;corte-bt ;23168;0,66;6,28;0;2,61
ren ;306902;corte-bt religacao-bt ;23168;0,08;1,14;0;1,01
reclamacao ;207044;verif-instalacao-bt ;20774;0,1;7,62;0;1,1
verif-instalacao-bt ;61563;reclamacao ;20774;0,34;7,62;0;1,44
fiscalizacao-bt ;64097;negativacao religacao-bt ;19606;0,31;6,05;0;1,37
negativacao ;913226;religacao-bt fiscalizacao-bt ;19606;0,02;3,57;0;1,02
negativacao fiscalizacao-bt ;35516;religacao-bt ;19606;0,55;6,73;0;2,05
negativacao religacao-bt ;236137;fiscalizacao-bt ;19606;0,08;6,05;0;1,08
religacao-bt ;383478;negativacao fiscalizacao-bt ;19606;0,05;6,73;0;1,05
religacao-bt fiscalizacao-bt ;28078;negativacao ;19606;0,7;3,57;0;2,67
negativacao ;913226;verif-instalacao-bt ;19365;0,02;1,61;0;1,01
verif-instalacao-bt ;61563;negativacao ;19365;0,31;1,61;0;1,17
negativacao ;913226;religacao-bt ren ;18704;0,02;2,71;0;1,01
negativacao religacao-bt ;236137;ren ;18704;0,08;1,21;0;1,01
negativacao ren ;79738;religacao-bt ;18704;0,23;2,86;0;1,2
religacao-bt ;383478;negativacao ren ;18704;0,05;2,86;0;1,03
religacao-bt ren ;35276;negativacao ;18704;0,53;2,71;0;1,71
ren ;306902;negativacao religacao-bt ;18704;0,06;1,21;0;1,01
corte-bt ;489093;processo ;18620;0,04;2,23;0;1,02
processo ;79963;corte-bt ;18620;0,23;2,23;0;1,17
processo ;79963;religacao-bt ;16272;0,2;2,48;0;1,15
religacao-bt ;383478;processo ;16272;0,04;2,48;0;1,03
modifmanut-medic-bt ;49414;negativacao ;15703;0,32;1,63;0;1,18
negativacao ;913226;modifmanut-medic-bt ;15703;0,02;1,63;0;1,01
reclamacao ;207044;ren ;15503;0,07;1,14;0;1,01
ren ;306902;reclamacao ;15503;0,05;1,14;0;1,01
fiscalizacao-bt ;64097;ren ;12739;0,2;3,03;0;1,17
ren ;306902;fiscalizacao-bt ;12739;0,04;3,03;0;1,03
afericao-bt ;27085;reclamacao ;12320;0,45;10,27;0;1,75
reclamacao ;207044;afericao-bt ;12320;0,06;10,27;0;1,06
corte-bt ;489093;religacao-bt processo ;11699;0,02;6,87;0;1,02
corte-bt processo ;18620;religacao-bt ;11699;0,63;7,66;0;2,47
corte-bt religacao-bt ;308806;processo ;11699;0,04;2,21;0;1,02
processo ;79963;corte-bt religacao-bt ;11699;0,15;2,21;0;1,09
religacao-bt ;383478;corte-bt processo ;11699;0,03;7,66;0;1,03
religacao-bt processo ;16272;corte-bt ;11699;0,72;6,87;0;3,19
afericao-bt ;27085;negativacao ;11442;0,42;2,16;0;1,39
negativacao ;913226;afericao-bt ;11442;0,01;2,16;0;1,01
corte-bt ;489093;verif-instalacao-bt ;11365;0,02;1,76;0;1,01
verif-instalacao-bt ;61563;corte-bt ;11365;0,18;1,76;0;1,1
processo ;79963;ren ;11224;0,14;2,14;0;1,09
ren ;306902;processo ;11224;0,04;2,14;0;1,02
corte-bt ;489093;negativacao processo ;10790;0,02;3,83;0;1,02
corte-bt processo ;18620;negativacao ;10790;0,58;2,97;0;1,91
negativacao ;913226;corte-bt processo ;10790;0,01;2,97;0;1,01
negativacao corte-bt ;304318;processo ;10790;0,04;2,07;0;1,02
negativacao processo ;26936;corte-bt ;10790;0,4;3,83;0;1,49
processo ;79963;negativacao corte-bt ;10790;0,13;2,07;0;1,08
modifmanut-medic-bt ;49414;reclamacao ;10674;0,22;4,88;0;1,22
reclamacao ;207044;modifmanut-medic-bt ;10674;0,05;4,88;0;1,04
