0;Antecedente;Valor;1;Consequente;Valor;Conf;Lift;Lev;Conv
2;corte-bt ;489093;3;religacao-bt ;308806;0.63;7.7;0.06;2.49
3;religacao-bt ;383478;2;corte-bt ;308806;0.81;7.7;0.06;4.6
2;corte-bt ;489093;4;negativacao ;304318;0.62;3.18;0.04;2.13
4;negativacao ;913226;2;corte-bt ;304318;0.33;3.18;0.04;1.34
4;negativacao ;913226;3;religacao-bt ;236137;0.26;3.15;0.03;1.24
3;religacao-bt ;383478;4;negativacao ;236137;0.62;3.15;0.03;2.09
2;corte-bt ;489093;5;negativacao religacao-bt ;206285;0.42;8.35;0.04;1.64
6;corte-bt religacao-bt ;308806;4;negativacao ;206285;0.67;3.42;0.03;2.42
4;negativacao ;913226;6;corte-bt religacao-bt ;206285;0.23;3.42;0.03;1.21
7;negativacao corte-bt ;304318;3;religacao-bt ;206285;0.68;8.26;0.04;2.85
5;negativacao religacao-bt ;236137;2;corte-bt ;206285;0.87;8.35;0.04;7.08
3;religacao-bt ;383478;7;negativacao corte-bt ;206285;0.54;8.26;0.04;2.02
4;negativacao ;913226;8;reclamacao ;82075;0.09;2.03;0.01;1.05
8;reclamacao ;207044;4;negativacao ;82075;0.4;2.03;0.01;1.33
4;negativacao ;913226;9;ren ;79738;0.09;1.33;0;1.02
9;ren ;306902;4;negativacao ;79738;0.26;1.33;0;1.09
8;reclamacao ;207044;3;religacao-bt ;57459;0.28;3.38;0.01;1.27
3;religacao-bt ;383478;8;reclamacao ;57459;0.15;3.38;0.01;1.12
2;corte-bt ;489093;8;reclamacao ;55364;0.11;2.56;0.01;1.08
8;reclamacao ;207044;2;corte-bt ;55364;0.27;2.56;0.01;1.22
2;corte-bt ;489093;9;ren ;52998;0.11;1.65;0;1.05
9;ren ;306902;2;corte-bt ;52998;0.17;1.65;0;1.08
2;corte-bt ;489093;10;fiscalizacao-bt ;46776;0.1;6.97;0.01;1.09
10;fiscalizacao-bt ;64097;2;corte-bt ;46776;0.73;6.97;0.01;3.31
2;corte-bt ;489093;11;religacao-bt reclamacao ;45548;0.09;7.58;0.01;1.09
12;corte-bt reclamacao ;55364;3;religacao-bt ;45548;0.82;10.03;0.01;5.18
6;corte-bt religacao-bt ;308806;8;reclamacao ;45548;0.15;3.33;0.01;1.12
8;reclamacao ;207044;6;corte-bt religacao-bt ;45548;0.22;3.33;0.01;1.2
3;religacao-bt ;383478;12;corte-bt reclamacao ;45548;0.12;10.03;0.01;1.12
11;religacao-bt reclamacao ;57459;2;corte-bt ;45548;0.79;7.58;0.01;4.32
2;corte-bt ;489093;13;negativacao reclamacao ;36281;0.07;4.22;0.01;1.06
12;corte-bt reclamacao ;55364;4;negativacao ;36281;0.66;3.35;0.01;2.33
4;negativacao ;913226;12;corte-bt reclamacao ;36281;0.04;3.35;0.01;1.03
7;negativacao corte-bt ;304318;8;reclamacao ;36281;0.12;2.69;0;1.09
13;negativacao reclamacao ;82075;2;corte-bt ;36281;0.44;4.22;0.01;1.6
8;reclamacao ;207044;7;negativacao corte-bt ;36281;0.18;2.69;0;1.13
10;fiscalizacao-bt ;64097;4;negativacao ;35516;0.55;2.84;0;1.8
4;negativacao ;913226;10;fiscalizacao-bt ;35516;0.04;2.84;0;1.03
3;religacao-bt ;383478;9;ren ;35276;0.09;1.4;0;1.03
9;ren ;306902;3;religacao-bt ;35276;0.11;1.4;0;1.04
9;ren ;306902;14;toi ;34778;0.11;15.23;0.01;1.12
14;toi ;34778;9;ren ;34778;1;15.23;0.01;32494.41
4;negativacao ;913226;11;religacao-bt reclamacao ;34143;0.04;3.04;0;1.03
