municipio,qtd_proc,qtd_toi,qtd_nega,qtd_corte,qtd_reclamacao,qtd
JAPERI,0.0144868013292014,0.0521599522084905,0.186274875854087,0.144345293656424,0.051114512937311,26783
QUEIMADOS,0.0144673217906723,0.0325612228981438,0.226505225393854,0.153349711433474,0.0538917485571674,51288
NILOPOLIS,0.013601299228583,0.007989675772867,0.217577286700307,0.144437677628908,0.0566382460414129,68964
NOVA IGUACU,0.0132612285545009,0.0194947623189502,0.216292276468883,0.151467307037779,0.0641883800375651,317316
SAO JOAO DE MERITI,0.00991613304425285,0.0122691137666179,0.234345675277456,0.137111548093245,0.0573118875947495,178497
DUQUE DE CAXIAS,0.00980062969289089,0.0137082293172163,0.197798508007416,0.143812318428006,0.054536075952447,205497
MESQUITA,0.00967493364536659,0.00950369588173178,0.229872427866092,0.143354547789606,0.0544250692085961,70078
PARACAMBI,0.0092932004749858,0.027260054726625,0.271826113893335,0.130156435541329,0.0501832825649233,19369
BELFORD ROXO,0.00881637984205498,0.019096109424698,0.196796352510068,0.131973587141872,0.0522089324803173,165374
BARRA MANSA,0.0071995316567642,0.00112103434101865,0.284854826052838,0.110820472578254,0.0251734489244298,80283
RIO DE JANEIRO,0.00510409128299498,0.00539941534194556,0.155187569085979,0.0909270737634524,0.0460374685434604,2871422
ITAGUAI,0.0049951028403526,0.00940254652301665,0.255220372184133,0.125347698334966,0.0432125367286974,51050
SAPUCAIA,0.00383669454008854,0.000393507132316773,0.26463354648303,0.067683226758485,0.0266601082144614,10165
SEROPEDICA,0.00367315822302308,0.00311871924596299,0.263427818975674,0.130223854736988,0.0406819599417839,28858
MIGUEL PEREIRA,0.00363758841360728,0.000606264735601213,0.262984169754126,0.0988885146513978,0.0196025597844392,14845
MENDES,0.003254039497307,0.00190754039497307,0.292190305206463,0.109739676840215,0.0311938958707361,8912
PINHEIRAL,0.00321449444769141,0.00233781414377557,0.330508474576271,0.107636859536334,0.0338983050847458,10266
TRES RIOS,0.00316613409164199,0.0027263932455806,0.317815367476767,0.139427164257864,0.0200521825803993,34111
PIRAI,0.00295267042987408,0.00060790273556231,0.310464611376465,0.0951801997394703,0.0296135475466782,11515
VALENCA,0.00281117791137831,0.000807169895346248,0.288827655310621,0.105015586729014,0.022851258071699,35928
PATY DO ALFERES,0.00279904503169507,0.000658598830987075,0.32180785379106,0.119947312093521,0.0270025520704701,12147
PARAIBA DO SUL,0.00266811870405663,0.00152463925946093,0.292404029403757,0.100735093928669,0.0218350122515655,18365
RIO DAS FLORES,0.00251677852348993,0.000559284116331096,0.286912751677852,0.087248322147651,0.0240492170022371,3576
RIO CLARO,0.00247524752475248,0.000521104742053153,0.239577905158937,0.0693069306930693,0.0297029702970297,7676
CARMO,0.00226472068444892,0.000377453447408153,0.267740312028183,0.0985153497735279,0.0181177654755913,7948
ENG PAULO DE FRONTIN,0.00210589651022864,0.00180505415162455,0.26910348977136,0.0910048134777377,0.0348977135980746,6648
VOLTA REDONDA,0.00206809710049451,0.00245169575623139,0.26901940508852,0.112761326584221,0.0260847085901082,119917
CDOR LEVY GASPARIAN,0.00195258019525802,0.00139470013947001,0.333054393305439,0.114923291492329,0.0161785216178522,3585
QUATIS,0.00183915733154991,0.000167196121049992,0.251295769938137,0.080086941982946,0.019729142283899,5981
BARRA DO PIRAI,0.00173618940248027,0.00121758737316798,0.319391206313416,0.122818489289741,0.0238556933483653,44350
VASSOURAS,0.00160054875957471,0.000743111924088259,0.301646278724134,0.116325597347662,0.0292671773179376,17494
