#municipio,qtd,qtd_notas,qtd_proc
CDOR LEVY GASPARIAN,4061,902,21
RIO DAS FLORES,4168,801,17
QUATIS,6699,1155,19
ENG PAULO DE FRONTIN,7567,1376,37
RIO CLARO,8564,1390,29
CARMO,9668,1926,29
MENDES,10346,2057,60
SAPUCAIA,11462,1895,49
PINHEIRAL,12322,3103,55
PIRAI,13013,2668,76
PATY DO ALFERES,13949,3203,93
MIGUEL PEREIRA,17425,3374,138
PARAIBA DO SUL,21164,4291,107
VASSOURAS,21976,5439,63
PARACAMBI,23316,5536,305
JAPERI,29761,7380,701
SEROPEDICA,33292,6175,254
TRES RIOS,41137,10708,250
VALENCA,43790,9973,190
BARRA DO PIRAI,54271,13253,156
QUEIMADOS,60134,17403,1705
ITAGUAI,61836,13007,543
MESQUITA,82213,21517,1499
NILOPOLIS,82257,21201,1791
BARRA MANSA,96114,21915,824
VOLTA REDONDA,143357,32015,538
BELFORD ROXO,189228,47731,3245
SAO JOAO DE MERITI,212305,58951,3804
DUQUE DE CAXIAS,237916,58666,3275
NOVA IGUACU,367906,97840,8863
RIO DE JANEIRO,3363655,598893,30951
