ROCINHA,3270,0,8
COMPLEXO DO ALEMO,5375,13,25
CIDADE DE DEUS,5921,1073,62
JACAREZINHO,9681,18,28
PORTUARIA,18620,3544,120
SANTA TEREZA,26088,4854,137
COMPLEXO DA MARE,27079,43,107
SAO CRISTOVAO,32737,4790,183
RIO COMPRIDO,33728,4837,216
GUARATIBA,57518,15566,1038
VIGARIO GERAL,61047,12168,545
INHAUMA,74447,13054,605
PAVUNA,76285,14111,958
CENTRO,78467,14523,515
ANCHIETA,89155,21782,1294
PENHA,94476,16491,856
VILA ISABEL,97050,11073,426
ILHA DO GOVERNADOR,97949,15740,903
RAMOS,99393,14453,747
IRAJA,106759,18936,848
TIJUCA,110726,11439,474
LAGOA,122913,8867,320
REALENGO,124594,28551,1901
COPACABANA,134798,15389,418
SANTA CRUZ,137718,36540,3755
BOTAFOGO,160294,17192,550
BANGU,190286,34855,1926
MADUREIRA,214185,45664,2154
BARRA DA TIJUCA,219362,41330,1438
MEIER,228095,39498,1457
CAMPO GRANDE,265863,59397,3500
JACAREPAGUA,328910,69914,3241
