RIO DAS FLORES,4168,7,17
QUATIS,6699,2,19
ENG PAULO DE FRONTIN,7567,50,37
RIO CLARO,8564,30,29
CARMO,9668,7,29
MENDES,10346,39,60
SAPUCAIA,11462,12,49
PINHEIRAL,12322,139,55
PIRAI,13013,73,76
PATY DO ALFERES,13949,185,93
MIGUEL PEREIRA,17425,89,138
PARAIBA DO SUL,21164,101,107
VASSOURAS,21976,63,63
PARACAMBI,23316,333,305
JAPERI,29761,1577,701
SEROPEDICA,33292,615,254
TRES RIOS,41137,190,250
VALENCA,43790,138,190
BARRA DO PIRAI,54271,186,156
QUEIMADOS,60134,3025,1705
ITAGUAI,61836,1659,543
MESQUITA,82213,1342,1499
NILOPOLIS,82257,1163,1791
BARRA MANSA,96114,446,824
VOLTA REDONDA,143357,1254,538
BELFORD ROXO,189228,5664,3245
SAO JOAO DE MERITI,212305,4638,3804
DUQUE DE CAXIAS,237916,2927,3275
NOVA IGUACU,367906,10121,8863
RIO DE JANEIRO,3363655,40127,30951
AP - 1,189640,1360,1171
AP - 4,554193,5811,4741
AP - 2,629051,695,2196
AP - 5,775979,18635,12120
AP - 3,1183926,13401,10527
