nome, qtd, porcentagem, mediana, quartil_i, quartil_s, max, min
'Corte BT', 7603, 0.208713077852, 96, 25, 279, 754, 1
'Religação BT', 6895, 0.189277478862, 43, 7, 175, 754, 1
'Recuperação Energ BT', 6091, 0.167206544416, 152, 63, 582, 3796, 1
'NULL', 4691, 0.128774569013
'Reclamação', 3066, 0.0841660261337, 74, 33, 186, 704, 1
'SPC', 2310, 0.0634127594158, 256, 101, 713, 1859, 1
'SERASA', 1897, 0.0520753266718, 330, 108, 780, 1862, 1
'Verif Instalação BT', 847, 0.0232513451191, 99, 38, 213, 766, 1
'Fiscalização BT', 665, 0.0182551883167, 78, 40, 152, 540, 1
'Modif/Manut Mediç BT', 557, 0.0152904359284, 79, 29, 188, 693, 1
'SolicitaçãoOuvidoria', 543, 0.0149061161744, 63, 29, 120, 390, 1
'Substituição BT', 499, 0.0136982540903, 134, 54, 311, 805, 1
'Aferição BT', 440, 0.0120786208411, 92, 35, 222, 722, 1
'VerifTensão Fornec', 74, 0.00203140441419, 167, 65, 281, 1017, 1
'Alterar Carga BT', 57, 0.00156473042714, 203, 52, 390, 716, 1
'Retificação Nome End', 57, 0.00156473042714, 151, 41, 274, 1085, 1
'Vistoria BT', 46, 0.00126276490612, 209, 120, 410, 688, 1
'Dados do Atendimento', 41, 0.0011255078511, 46, 24, 91, 419, 1
'Retirada BT', 24, 0.000658833864061, 184, 84, 375, 464, 16
'Acompanhamento BT', 11, 0.000301965521028, 447, 85, 647, 773, 26
'Determ   Judicial', 9, 0.000247062699023, 90, 11, 101, 269, 1
'Desligamento  BT', 3, 8.23542330076e-05, 24, 1, 258, 258, 1
'Ligação Nova BT', 2, 5.49028220051e-05, 293, 292, 293, 293, 292
